ardf_num,mrds_num,site,location,quad_250,quad_63360,comm_main,comm_other,ore,gangue,site_type,status,production,dep_model,model_code,alteration,geol_desc,work_expl,comments,expand_ref,rept_names,rept_date,age,rept_aff,prod_notes,reserves,prime_ref,latitude,longitude,datum,source_datum
NM138,10307967,Unnamed (in Aurora Creek),Aurora Creek is an east tributary of upper Cripple River; its mouth is about 5.5 miles upstream from where the Nome-Teller road crosses Cripple River.  The location is in Aurora Creek at an elevationof about 600 feet and about half-way between the head of,NM,C-2,Zn,Au,"Gold, sphalerite",,Occurrence,Inactive,,"Alluvial placer Au (Cox and Singer, 1986; model 39a); sphalerite-bearing boulders are present in Aurora Creek gravels.",39a,,"A stratabound zinc-lead deposit (NM140) crops out in Aurora Creek about 1-mile above this location.  Aurora Creek has been mined with hand tools for placer gold, especially in the benches on the southwest of Aurora Creek.  Numerous boulders of zinc-bearin",Fifteen claims were staked in 1968 during a period of activity on the Aurora Creek zinc-lead deposits (NM140).  Some mining for placer gold has taken place along Aurora Creek and its west side benches.,,"Alaska Division of Geological and Geophysical Surveys, 1982, Mining claim location maps -- Nome quadrangle: Alaska Division of Geological and Geophysical Surveys, 8 p., 3 sheets, scales 1:63,360 and 1:250,000.|Bundtzen, T.K., Reger, R.D., Laird, G.M., Pin",C.C. Hawley and Travis L. Hudson,3/12/2000,Quaternary.,"Hawley Resource Group, Inc.",Probably very minor production of placer gold.,,This report,64.72174,-165.62277,WGS84,NAD27 (EPSG:4267) reprojected to WGS84 (EPSG:4326)
NM139,,Slate Creek,Slate Creek is a west tributary to Cripple River near its head.  The mouth of Slate Creek is about 6 miles upstream from where the Nome-Teller road crosses Cripple River.  Slate Creek has been mined for placer gold on a small scale about one-half mile abo,NM,C-2,Au,,"Arsenopyrite (?), gold, pyrite",,Mine,Probably inactive,Yes; small,"Alluvial placer Au (Cox and Singer, 1986; model 39a).",39a,,"The lower part of Slate Creek has been placer mined for gold on a small scale.  Pans taken near the head of Slate Creek and on Cripple River 2,000 feet below the mouth of Slate Creek contained more than 10,000 ppm of gold.  A stream sediment sample collec",Small-scale placer workings are present on Slate Creek.,,"Bundtzen, T.K., Reger, R.D., Laird, G.M., Pinney, D.S., Clautice, K.H., Liss, S.A., and Cruse, G.R., 1994, Progress report on the geology and mineral resources of the Nome mining district: Alaska Division of Geological and Geophysical Surveys, Public Data",C.C. Hawley and Travis L. Hudson,3/12/2000,The placer gold deposits are Quaternary.  The mineralization along the Charlie Creek fault is probably Late Cretaceous or early Tertiary  (post-mid-Cretaceous regional metamorphism).,"Hawley Resource Group, Inc.",,,This report,64.74134,-165.624672,WGS84,NAD27 (EPSG:4267) reprojected to WGS84 (EPSG:4326)
NM140,A012867,Aurora,"The Aurora prospect is at the head of Aurora Creek, an eastern tributary to the Cripple River, at an elevation of about 1,060 feet. The mineralization trends south-southeast  in a zone that extends for about a mile to a similar  prospect, the Christophose",NM,C-2,"Au, Ba, F, Zn","Ag, Cu, Pb, Sb","Arsenopyrite, barite, chalcopyrite, fluorite, galena, gold?, pyrite, sphalerite, stibnite?, tennantite?","Ankerite, dolomite, quartz",Prospect,Undetermined,None,"Metamorphosed Kuroko-type volcanogenic massive sulfide (Cox and Singer, 1986; model 28a) or sedimental exhalative (SEDEX) deposit. (Cox and Singer, 1986, model 31a).",28a or 31a,Remobilization of metallic minerals and carbonates during Cretaceous metamorphism.,"The Aurora zinc-lead prospect  was discovered in 1966 by a geochemical survey (Herreid, 1968).  Resource Associates of Alaska then found  a train  of boulders trending north-northwest of disseminated to semi-massive sulfides, mainly sphalerite.  Herreid (",Soil surveys were done by the Alaska Division of Geological and Geophysical Surveys in the late 1960s. Some work by Resource Associates of Alaska in the early 1970s. Cominco explored the deposit in 1976 and 1977 and drilled 22 holes.  Kennecott Exploratio,,"Bundtzen, T.K., Reger, R.D., Laird, G.M., Pinney, D.S., Clautice, K.H., Liss, S.A., and Cruse, G.R., 1994, Progress report on the geology and mineral resources of the Nome mining district: Alaska Division of Geological and Geophysical Surveys, Public Data","C.C. Hawley and Travis L. Hudson; D.J. Grybeck (Contractor, USGS)",4/1/2012,Massive sulfides were syngenetic in early Paleozoic (Devonian?) sedimentary and/or marine volcanic rocks with remobilization during mid-Cretaceous deformation and metamorphism.  Mineralization along crosscutting structures is probably mid-Cretaceous or yo,"Hawley Resource Group, Inc.",None.,None.,"Bundtzen and others, 1994; Slack and others, 2011",64.71504,-165.593669,WGS84,NAD27 (EPSG:4267) reprojected to WGS84 (EPSG:4326)
NM141,A012786,Christophosen,"The Christophosen prospect is on the ridge between the headwaters of Oregon Creek and Penny River, just downslope and east of elevation 1620.  It is about 0.4 mile north of the center of section 24, T. 9 S., R. 34 W.  The location is accurate.",NM,C-2,Zn,"Ag, Au, Pb, Sb","Chalcopyrite, galena, pyrite, sphalerite, stibnite","Ankerite, dolomite, quartz",Prospect,Undetermined,None,"Metamorphosed Kuroko-type volcanogenic massive sulfide (Cox and Singer, 1986; model 28a) or sedimentary exhalative (SEDEX) deposit. (Cox and Singer, 1986, model 31a).",28a or 31a,Not noted.,"The Christophosen prospect was discovered before 1916.  When Mertie (1918) visited the prospect in 1916, he found one caved shaft and reported sphalerite and pyrite with quartz.  The locality was visited by Herreid (1968), who reported dolomite with spars",Several prospect pits are present; a shallow shaft was caved by 1916.  Surface examination and sampling by Kennecott Exploration Company in 1991 and 1992.,,"Bundtzen, T.K., Reger, R.D., Laird, G.M., Pinney, D.S., Clautice, K.H., Liss, S.A., and Cruse, G.R., 1994, Progress report on the geology and mineral resources of the Nome mining district: Alaska Division of Geological and Geophysical Surveys, Public Data","C.C. Hawley and Travis L. Hudson; D.J. Grybeck (Contractor, USGS)",4/1/2012,Either a syngenetic deposit  or a volcanogenic massive-sulfide deposit in early Paleozoic (Devonian?) sedimentary and marine volcanic rocks.,"Hawley Resource Group, Inc.",None.,None.,"Bundtzen and others, 1994; Slack and others, 2011",64.69804,-165.584267,WGS84,NAD27 (EPSG:4267) reprojected to WGS84 (EPSG:4326)
NM142,,Last Chance,The Last Chance prospect is on the south side of the headwaters of Last Chance Creek at an elevation of about 650 feet.  This is 1 mile northeast of the divide between Last Chance Creek and Penny River. The prospect is located to within about 500 feet.  I,NM,C-2,"Au, Pb, Sb",Ag,"Galena, gold (?), pyrite, stibnite","Ankerite, quartz",Prospect,Probably inactive,Undetermined.,"Low-sulfide Au-quartz veins (Cox and Singer, 1986; model 36a).",36a,,"The Last Chance prospect consists of an adit driven south-southwest on the Penny River fault or a splay of the fault.  The prospect was first reported by Smith (1908, p. 345).  Mertie (1918 [B 662-I, p. 446]) also mentions it ,but it appears unlikely that","The prospect was discovered by G. Christophosen, who was apparently very active in the area before 1915 (see also NM141 and NM143).  A 70-foot adit was driven on the vein.  It is inferred from the lack of further development that the gold content of the v",,"Bundtzen, T.K., Reger, R.D., Laird, G.M., Pinney, D.S., Clautice, K.H., Liss, S.A., and Cruse, G.R., 1994, Progress report on the geology and mineral resources of the Nome mining district: Alaska Division of Geological and Geophysical Surveys, Public Data",C.C. Hawley and Travis L. Hudson,3/12/2000,Mid-Cretaceous or younger; host structure crosscuts rocks metamorphosed in the mid-Cretaceous.,"Hawley Resource Group, Inc.",,,"Mertie, 1918",64.720741,-165.540869,WGS84,NAD27 (EPSG:4267) reprojected to WGS84 (EPSG:4326)
NM143,A012797; A012798,Christophosen; Last Chance,"This mine is in upper Waterfall Creek, a name and stream not currently shown on the Nome C-2 topographic map.  The creek is a north tributary of Last Chance Creek; it flows south through sections 6 and 8, T. 9 S., R. 34 W., Kateel River Meridian.  The loc",NM,C-2,Sb,"Ag, Au, Cu, Pb","Azurite, chalcopyrite, galena, gold (?), malachite, pyrite, pyrrhotite, stibnite",Quartz,Mine,Inactive,Yes,"Low-sulfide Au-quartz veins; associated mineralized shear zone (Cox and Singer, 1986; model 36a).",36a,Sulfidation along a wide shear zone.,The Christophosen mine is on quartz-sulfide veins as much as 5 feet wide within a weakly mineralized shear zone hundreds of feet across.  The shear zone strikes north-northeast and is a mineralized part of the Penny River fault.  Discrete veins occur on s,"The prospect was explored by surface pits and adits that were driven before 1916 on four mining claims (Mertie, 1918 [B 662-I, p. 425-449]).  An upper adit was about 105 feet long; the lower adit, in part a crosscut, was driven N 25 W for about 270 feet.",,"Bundtzen, T.K., Reger, R.D., Laird, G.M., Pinney, D.S., Clautice, K.H., Liss, S.A., and Cruse, G.R., 1994, Progress report on the geology and mineral resources of the Nome mining district: Alaska Division of Geological and Geophysical Surveys, Public Data",C.C. Hawley and Travis L. Hudson,3/12/2000,Mid-Cretaceous or younger; host structure crosscuts rocks metamorphosed in the mid-Cretaceous.,"Hawley Resource Group, Inc.",More than 2.5 tons of stibnite ore assaying more than 58 percent antimony were produced.,,"Mertie, 1918",64.737442,-165.53607,WGS84,NAD27 (EPSG:4267) reprojected to WGS84 (EPSG:4326)
NM144,A012887; D002578,Last Chance Creek,Last Chance Creek is in the northeast corner of the Nome C-2 quadrangle and adjacent parts of the Nome C-1 quadrangle; it was placer mined for gold from the headwaters (NM142) downstream to near Hazel Gulch in the Nome C-1 quadrangle. The location used is,NM,C-2,Au,W,"Gold, hematite, magnetite, pyrite, scheelite, stibnite",,Mine,Inactive,Yes; small,"Alluvial placer Au (Cox and Singer, 1986; 39a).",39a,,"Placer gold was discovered in Last Chance Creek in or before 1900 and some sluicing was reported in 1900 (Brooks and others, 1901, p. 80). Reportedly the creek was prospected extensively in 1901, but probably with poor results because the prospect was aba","Hand and small-scale mechanical operations occurred on Last Chance Creek.  Mining was reported in 1900, 1903, and as recently as 1924 (Smith, 1926). Some of the tailings below Hazel Gulch could have been processed by small-scale mechanical operations afte",,"Brooks, A.H., Richardson, G.B., Collier, A.J., and W.C. Mendenhall, 1901, A reconnaissance in the Cape Nome and adjacent gold fields of Seward Peninsula, Alaska, in 1900:  U.S. Geological Survey Special Publication, p. 1-185, maps.|Bundtzen, T.K., Reger,",C.C. Hawley and Travis L. Hudson,3/12/2000,Quaternary.,"Hawley Resource Group, Inc.",,,"Moffit, 1913",64.723242,-165.503068,WGS84,NAD27 (EPSG:4267) reprojected to WGS84 (EPSG:4326)
NM145,A012858,Mountain Creek (Greenstone Creek),"Mountain Creek is a north tributary of upper Oregon Creek (see NM146) in the northern part of section 22, T. 9 S., R. 35 W., Kateel River Meridian.  The mouth of Oregon Creek is where the Nome-Teller road crosses Cripple River.  Mountain Creek was apparen",NM,C-2,Au,"Sb, W","Gold, scheelite, stibnite",Quartz,Prospect,Inactive,Yes; small,"Alluvial placer Au (Cox and Singer, 1986; model 39a).",39a,,"A placer gold deposit was discovered before 1904 in Mountain Creek; rich values were reported in schist-bearing gravel (Collier and others, 1908), and some mining was done in the lower part of the creek.  Kennecott Exploration Company found about 5,000 pp","Gold was discovered in this creek before 1901 (Brooks and others, 1901). Collier and others (1908, p. 214) reported plans to mine one claim in auriferous schist-bearing gravel in 1904.",,"Brooks, A.H., Richardson, G.B., Collier, A.J., and W.C. Mendenhall, 1901, A reconnaissance in the Cape Nome and adjacent gold fields of Seward Peninsula, Alaska, in 1900:  U.S. Geological Survey Special Publication, p. 1-185, maps.|Bundtzen, T.K., Reger,",C.C. Hawley and Travis L. Hudson,3/12/2000,Quaternary.,"Hawley Resource Group, Inc.",,,This report,64.693939,-165.654567,WGS84,NAD27 (EPSG:4267) reprojected to WGS84 (EPSG:4326)
NM146,A012869; A012870; A012871; D002573,Oregon Creek,Oregon Creek is a east tributary to Cripple River; the mouth of Oregon Creek is just above where the Nome-Teller road crosses Cripple River.  The Oregon Creek placer consists of auriferous gravel in or near modern Oregon Creek and nearly parallel bench de,NM,C-2,Au,"Bi, Ti, W","Bismuth, galena, gold, hematite, magnetite, rutile, scheelite, sphalerite, stibnite",Garnet,Mine,Active,Yes; small,"Alluvial placer Au (Cox and Singer, 1986; model 39a).",39a,,"Gold was discovered in Oregon Creek and adjacent bench deposits before 1901 (Brooks and others, 1901, p. 69, 92-94); the deposits were worked extensively before 1918.  Gold, accompanied by magnetite, garnet, bismuth, rutile, and scheelite, occurs in the p","The placer deposits have been worked by surface hand operations, hydraulic cuts, and drift mining.  Placer mining began in 1900; the gold produced in 1900 from Oregon and nearby Nugget (NM147), Mountain (NM145) and Hungry Creeks (NM149) was estimated at a",,"Anderson, Eskil, 1947, Mineral occurrences other than gold deposits in northwestern Alaska: Alaska Territorial Division of Mines Pamphlet 5-R, 48 p.|Brooks, A.H., Richardson, G.B., Collier, A.J., and W.C. Mendenhall, 1901, A reconnaissance in the Cape Nom",C.C. Hawley and Travis L. Hudson,3/12/2000,Quaternary.,"Hawley Resource Group, Inc.",Patented claims cover most of the bench placers.,"There is at least a small placer resource left in the area, especially in the bench deposits.","Collier and others, 1908",64.690539,-165.654767,WGS84,NAD27 (EPSG:4267) reprojected to WGS84 (EPSG:4326)
NM147,A012872; D002572,Nugget Gulch,"Nugget Gulch is an east tributary to Oregon Creek in section 27, T. 9 S., R. 35 W., Kateel River Meridian.  The mouth of Oregon Creek is where the Nome-Teller road crosses Cripple River. The gulch was mined about due south of the former village of Oregon;",NM,C-2,Au,"Bi, W","Bismuth, gold, hematite, magnetite, pyrite, rutile, scheelite.",Garnet,Mine,Inactive,Yes; small,"Alluvial placer Au (Cox and Singer, 1986; model 39a).",39a,,"Nugget Gulch was discovered and worked before 1901 (Brooks and others, 1901, p. 92, 95; Moffit, 1906, p. 136; Eakin, 1915, p. 369-370).  A short distance above the junction of Nugget Gulch and Oregon Creek, a 25-foot-wide paystreak was discovered at a dep","A placer discovery was made, probably by shafting, before 1901 (Brooks and others, 1901) and the deposit was mainly mined out before about 1906 (Collier and others, 1908).  Two claims, reportedly for gold and bismuth, were active in 1958 (Heiner and Porte",,"Alaska Division of Geological and Geophysical Surveys, 1982, Mining claim location maps -- Nome quadrangle: Alaska Division of Geological and Geophysical Surveys, 8 p., 3 sheets, scales 1:63,360 and 1:250,000.|Brooks, A.H., Richardson, G.B., Collier, A.J.",C.C. Hawley and Travis L. Hudson,3/12/2000,Quaternary.,"Hawley Resource Group, Inc.",,,"Collier and others, 1908",64.678938,-165.654766,WGS84,NAD27 (EPSG:4267) reprojected to WGS84 (EPSG:4326)
NM148,10307968,Oregon Creek (below Nugget Gulch),"Oregon Creek is an east tributary to Cripple River; the mouth of Oregon Creek is where the Nome-Teller road crosses Cripple River.  This site is 2 to 3 miles below Nugget Gulch (NM147).  According to Collier and others (1908, p. 211), a section of ground",NM,C-2,Au,"Bi, W","Bismuth, gold, hematite, magnetite, scheelite",Garnet,Mine,Probably inactive,Yes; small,"Alluvial placer Au (Cox and Singer, 1986; model 39a).",39a,,"Placer mining on Oregon Creek about a half mile below Nugget Gulch was in a gravel from 1.5 to 6 feet thick that consisted of schist, limestone (marble), and granite pebbles.  Gold was bright, coarse, and little worn and was produced above a false, yellow",Gold was discovered in Oregon Creek in the winter of 1898-99.  Some ground about a quarter of a mile below Nugget Gulch was worked in 1900. The area was visited by F.L. Hess in 1903 who found production on eight claims along the creek. Parts of Oregon Cre,,"Alaska Division of Geological and Geophysical Surveys, 1982, Mining claim location maps -- Nome quadrangle: Alaska Division of Geological and Geophysical Surveys, 8 p., 3 sheets, scales 1:63,360 and 1:250,000.|Collier, A.J., Hess, F.L., Smith, P.S., and B",C.C. Hawley and Travis L. Hudson,3/12/2000,Quaternary.,"Hawley Resource Group, Inc.",Mining started in 1898 and continued intermittantly to 1965.,,"Collier and others, 1908",64.682438,-165.687666,WGS84,NAD27 (EPSG:4267) reprojected to WGS84 (EPSG:4326)
NM149,A012874,Hungry Creek,Hungry Creek is an east tributary of Oregon Creek. The mouth of Hungry Creek is three quarters of a mile upstream of the junction of Oregon Creek and Cripple River at the Nome-Teller road.  It has been mined for about 2 miles from near its mouth upstream,NM,C-2,Au,"Bi, Fe, Ti","Bismuth, gold, ilmenite, magnetite, rutile",Garnet,Mine,Inactive,Yes; small,"Alluvial placer Au (Cox and Singer, 1986; model 39a).",39a,,"Placer gold mining on Hungry Creek began soon after discovery in July, 1900.  In 1903, there were three mines in operation, but most of the creek had some prospecting or mining by then (Collier and others, 1908).  The creek had numerous rounded granitic b",Small-scale surface workings are present.,,"Bundtzen, T.K., Reger, R.D., Laird, G.M., Pinney, D.S., Clautice, K.H., Liss, S.A., and Cruse, G.R., 1994, Progress report on the geology and mineral resources of the Nome mining district: Alaska Division of Geological and Geophysical Surveys, Public Data",C.C. Hawley and Travis L. Hudson,3/12/2000,Quaternary.,"Hawley Resource Group, Inc.",,,"Collier and others, 1908",64.665837,-165.699365,WGS84,NAD27 (EPSG:4267) reprojected to WGS84 (EPSG:4326)
NM150,10307969,Cleveland Creek,"This placer mine is in Cleveland Creek, a south tributary of the Cripple River.  Cleveland Creek enters Cripple River three quarters of a mile below the Nome-Teller road.  The location is the mid-point of placer tailings and is accurate to within about 50",NM,C-2,Au,,Gold,,Mine,Probably inactive,Yes; small,"Alluvial placer Au (Cox and Singer, 1986; model 39a).",39a,,Cleveland Creek (not then named) was shown as auriferous and placer mined just above its mouth by Collier and others (1908).  Sainsbury and others (1972 [OFR 72-321]) mapped the bedrock in the creek as graphitic schist.,"Placer gold was produced near the mouth of Cleveland Creek by small-scale surface operations before 1908 (Collier and others, 1908, plate X).",,"Cobb, E.H., 1972, Metallic mineral resources map of the Nome quadrangle, Alaska:  U.S. Geological Survey Miscellaneous Field Studies Map MF-463, 2 sheets, scale 1:250,000.|Cobb, E.H., 1978, Summary of references to mineral occurrences (other than mineral",C.C. Hawley and Travis L. Hudson,3/12/2000,Quaternary.,"Hawley Resource Group, Inc.",,,"Collier and others, 1908",64.665736,-165.761765,WGS84,NAD27 (EPSG:4267) reprojected to WGS84 (EPSG:4326)
NM151,A012865,Stella Creek,"Stella Creek is an east tributary of Cripple River.  The mouth of Stella Creek is about 3 miles downstream of where the Nome-Teller road crosses Cripple River.  It is locality 67 of Cobb (1972 [MF 463], 1978 [OFR 78-93]) and is located within about a half",NM,C-2,Au,,Gold,,Prospect,Inactive,Yes; small,"Alluvial placer Au (Cox and Singer, 1986; model 39a).",39a,,"A placer deposit was reported by Collier and others (1908, p. 210-211) in Stella Creek.  The deposit was in a parallel bench about 10 feet above modern Stella Creek.  The bench channel was cut in quartz-chlorite schist bedrock, but it also contained many","Stella Creek was probably discovered in 1900 (Brooks and others, 1901, p. 96).  Workings had been developed before a visit by the U.S. Geological Survey in 1903 (Collier and others, 1908, p. 210-211).  There is little indication of more recent mining.",,"Brooks, A.H., Richardson, G.B., Collier, A.J., and W.C. Mendenhall, 1901, A reconnaissance in the Cape Nome and adjacent gold fields of Seward Peninsula, Alaska, in 1900:  U.S. Geological Survey Special Publication, p. 1-185, maps.|Cobb, E.H., 1972, Metal",C.C. Hawley and Travis L. Hudson,3/12/2000,Quaternary.,"Hawley Resource Group, Inc.",,,"Collier and others, 1908",64.655534,-165.834565,WGS84,NAD27 (EPSG:4267) reprojected to WGS84 (EPSG:4326)
NM152,10307970,Cripple River,The Cripple River bench placer is on the northwest side of the Cripple River valley.  It extends about 1.5 miles upstream from the mouth of Fox Creek  to the mouth of Elizabeth Creek.  The deposit is approximately located downslope from the end of two par,NM,C-2,Au,,Gold,,Prospect,Inactive,Undetermined,"Alluvial placer Au (Cox and Singer, 1986; model 39a).",39a,,"The prospect is a gravel bench on bedrock, 10 feet above and to the north above of Cripple River;  Collier and others (1908, p. 210) reported it to contain an economic deposit of placer gold.  A proposal was made to hydraulically mine the deposit, and at",Attempts were made in 1903 and subsequent years to mine a placer gold deposit on a Cripple River bench below Elizabeth Creek.  These attempts apparently failed because of leakage from one or more ditches constructed to develop the project (Collier and oth,,"Cobb, E.H., 1972, Metallic mineral resources map of the Nome quadrangle, Alaska:  U.S. Geological Survey Miscellaneous Field Studies Map MF-463, 2 sheets, scale 1:250,000.|Cobb, E.H., 1978, Summary of references to mineral occurrences (other than mineral",C.C. Hawley and Travis L. Hudson,3/12/2000,Quaternary.,"Hawley Resource Group, Inc.",,,"Collier and others, 1908",64.646133,-165.900565,WGS84,NAD27 (EPSG:4267) reprojected to WGS84 (EPSG:4326)
NM153,10307971,Arctic Creek (upper),"Arctic Creek is an east tributary of lower Cripple River. The mouth of Arctic Creek is about 5 miles upstream from the mouth of Cripple River on Norton Sound. Two segments of the creek have been mined, probably with gold derived in part from two different",NM,C-2,Au,"Pb, Sb, W","Gold, scheelite (?)",,Mine,Inactive,Yes; small,"Alluvial placer Au (Cox and Singer, 1986; model 39a).",39a,,Upper Arctic Creek was mined by hand methods for about 1 mile downstream from the Nome-Teller road and probably by mechanical methods for a half-mile segment above the mouth of  Bluff Creek (NM154).  Abundant granitic boulders have been stacked on the nor,"Mostly shovel-in type workings; probably most date from before 1906 (Moffit, 1906, p. 136).",,"Cobb, E.H., 1972, Metallic mineral resources map of the Nome quadrangle, Alaska:  U.S. Geological Survey Miscellaneous Field Studies Map MF-463, 2 sheets, scale 1:250,000.|Cobb, E.H., 1978, Summary of references to mineral occurrences (other than mineral",C.C. Hawley and Travis L. Hudson,3/12/2000,Quaternary.,"Hawley Resource Group, Inc.",,,This report,64.632735,-165.745062,WGS84,NAD27 (EPSG:4267) reprojected to WGS84 (EPSG:4326)
NM154,10307972,Bluff Creek,"Bluff Creek is an east tributary of Arctic Creek; the mouth of Bluff Creek is about 1.5 miles down Artic Creek from the Nome-Teller road.  The course of lower Bluff Creek and a small north tributary are covered by patented mining claims, although there do",NM,C-2,Au,,Gold,,Prospect,Probably inactive,Undetermined,"Alluvial placer Au (Cox and Singer, 1986; model 39a).",39a,,"Lower Bluff Creek and a small north tributary are covered by patented mining claims, although there does not appear to have been any significant placer mining.  Bedrock in lower Bluff Creek is mineralized pyritic graphitic quartz schist;  a bedrock sample","This is an area of patented mining claims, possibly the patented five claims of G. Schofield reported by Heiner and Porter (1972, Kardex site Kx 52-48).",,"Bundtzen, T.K., Reger, R.D., Laird, G.M., Pinney, D.S., Clautice, K.H., Liss, S.A., and Cruse, G.R., 1994, Progress report on the geology and mineral resources of the Nome mining district: Alaska Division of Geological and Geophysical Surveys, Public Data",C.C. Hawley and Travis L. Hudson,3/12/2000,Quaternary.,"Hawley Resource Group, Inc.",,,This report,64.621635,-165.752261,WGS84,NAD27 (EPSG:4267) reprojected to WGS84 (EPSG:4326)
NM155,AO12876,Arctic Creek (lower),"Arctic Creek is an east tributary of lower Cripple River. The mouth of Arctic Creek is about 5 miles upstream from the mouth of Cripple River on Norton Sound. Two segments of the creek have been mined, probably producing  gold derived in part from two dif",NM,C-2,Au,,Gold,,Mine,Undetermined,Yes; small,"Alluvial placer Au (Cox and Singer, 1986; model 39a).",39a,,"From 1914 to at least 1922, an alluvial placer gold deposit was mined for at least a half mile along lower Arctic Creek by a floating bucket line dredge, starting about a mile above its mouth. The placer in lower Arctic Creek appears to have gold sources","A bucket line dredge operated on the lower part of Arctic Creek from 1914 until at least 1922 (Eakin, 1915; Harrington, 1921; Brooks, 1922; Brooks and Capps, 1924) There was probably some hand and small-scale mining along the creek during this period or l",,"Brooks, A.H., 1922, The Alaska mining industry in 1920:  U.S. Geological Survey Bulletin 722-A, p. 1-74.|Brooks, A.H., and Capps, S.R., 1924, The Alaska mining industry in 1922:  U.S. Geological Survey Bulletin 755-A, p. 1-56. |Bundtzen, T.K., Reger, R.D.","C.C. Hawley and Travis L. Hudson (Hawley Resource Group, Inc.); D.J. Grybeck (Contractor, U.S. Geological Survey)",4/2/2010,Quaternary.,,"There are no systematic records of early mining on Arctic Creek.  However, since 1986, The Gold Prospectors Association of America  has run a camp each summer near the mouth of the Cripple River; some of their prospecting and mining activity has been on A",,"Cobb, 1978; Gold Prospectors Association of America, 2010",64.608734,-165.79846,WGS84,NAD27 (EPSG:4267) reprojected to WGS84 (EPSG:4326)
NM156,A012864,Cripple River,"Cripple River was reported to be auriferous from its headwaters to its mouth on Norton Sound by Collier and others (1908, plate X).  The location given is the approximate midpoint of patented claims along a section of the river that extends from above Ste",NM,C-2,Au,,Gold,,Mine,Active,Yes; small,"Gold placer(Cox and Singer, 1986; model 39a).",39a,,Collier and others (1908) reported that Cripple River was auriferous from its head to its mouth on Norton Sound.  This was partly confirmed in the upper part of Cripple River during 1989-1990 reconnaissance exploration by Kennecott Exploration Company (wr,"There was some mining on Cripple River and in tributaries before WW I (Brooks, 1904; Brooks,1905; Collier and others, 1908; Smith, 1912; Chapin, 1914).  Also see the record for 'Second Beach' (NM178) for recent prospecting and mining activities in the are",,"Brooks, A.H., 1904, Placer mining in Alaska in 1903:  U.S. Geological Survey Bulletin 225, p. 43-59.|Brooks, A.H., 1905, Placer mining in Alaska in 1904:  U.S. Geological Survey Bulletin 259, p. 18-31.|Chapin, Theodore, 1914, Placer mining on Seward Penin","C.C. Hawley and Travis L. Hudson (Hawley Resource Group. Inc.); D.J. Grybeck (Contractor, U.S. Geological Survey)",4/2/2010,Quaternary.,,"There are no systematic records of early mining on the Cripple River.  However, since 1986, The Gold Prospectors Association of America  (2010) has run a camp each summer near the mouth of the Cripple River; some of their prospecting and mining activity h",,"Collier and others, 1908; Gold Prospectors Association of America, 2010",64.612833,-165.856361,WGS84,NAD27 (EPSG:4267) reprojected to WGS84 (EPSG:4326)
NM157,10307973,Unnamed (Arctic Creek),A quartz-ankerite vein crops out on the north bank of Arctic Creek about 800 feet west of the mouth of Bluff Creek. This is about 2 miles down Arctic Creek from the Nome-Teller road. The location is accurate within about 500 feet.,NM,C-2,Au,,Gold,"Ankerite, quartz",Occurrence,Inactive,None,"Low-sulfide Au-quartz vein (Cox and singer, 1986; model 36a).",36a,,"A quartz-ankerite vein that strikes northeast and dips about 50 degrees to the northwest is exposed on the north bank of Arctic Creek about 800 feet below the mouth of Bluff Creek.  The vein itself is apparently barren, but gold can be panned from its wal",The vein is exposed in a natural outcrop.,,"Bundtzen, T.K., Reger, R.D., Laird, G.M., Pinney, D.S., Clautice, K.H., Liss, S.A., and Cruse, G.R., 1994, Progress report on the geology and mineral resources of the Nome mining district: Alaska Division of Geological and Geophysical Surveys, Public Data",C.C. Hawley and Travis L. Hudson,3/12/2000,Mid-Cretaceous or younger; located on a structure that cuts rocks metamorphosed in the mid-Cretaceous.,"Hawley Resource Group, Inc.",,,This report,64.627235,-165.776162,WGS84,NAD27 (EPSG:4267) reprojected to WGS84 (EPSG:4326)
NM158,A012973,Sonora Creek,Sonora Creek is a small 2-mile-long stream that flows south to Norton Sound about 4 miles west of the mouth of Cripple River.  The placer on Sonora Creek  is less than a mile from the coast at about the point where Sonora Creek flows onto the coastal plai,NM,C-2,Au,,Gold,,Prospect,Inactive,None,"Alluvial placer Au ? (Cox and Singer, 1986; model 39a).",39a ?,,"Gold was discovered and claims located on Sonora Creek in 1900; there was some development work done in 1901 (Collier and others, 1908).  Because this location is near where Sonora Creek flows onto a marine terrace of the Norton Sound coastal plain, coast",Surface work; discovery in 1900 and some development in 1901 but there has apparently been little or no work since.,,"Alaska Division of Geological and Geophysical Surveys, 1982, Mining claim location maps -- Nome quadrangle: Alaska Division of Geological and Geophysical Surveys, 8 p., 3 sheets, scales 1:63,360 and 1:250,000.|Collier, A.J., Hess, F.L., Smith, P.S., and B",C.C. Hawley and Travis L. Hudson,3/12/2000,Quaternary.,"Hawley Resource Group, Inc.",,,"Collier and others, 1908",64.603931,-165.925961,WGS84,NAD27 (EPSG:4267) reprojected to WGS84 (EPSG:4326)
